topic_id,video_count,median_views,median_like_rate,top_category,category_mix,topic_label
5,352,33144.0,0.02920665823031247,fitness,"{'fitness': 149, 'entertainment': 75, 'gaming': 72, 'research_science': 28, 'food': 15, 'tech': 13}",5_gratitude_life_say thank_warning don
68,54,31901.5,0.054780654635468246,research_science,{'research_science': 54},68_neutrinos_neutrino_fermilab scientist_fermilab physics
133,35,30848.0,0.022637470300459008,tech,{'tech': 35},133_apple watch_watch review_watch series_watch
55,61,30438.0,0.03666810073799517,gaming,"{'gaming': 60, 'research_science': 1}",55_kingdom_zelda_legend zelda_stampylonghead stampy
259,13,29833.0,0.017010328520590062,food,{'food': 13},259_toast_breadcrumbs_bread_appliance
256,13,29797.0,0.058140137959649396,entertainment,"{'entertainment': 12, 'gaming': 1}",256_masculinity_feminism_gender_males
42,78,28296.5,0.03403659888422468,entertainment,"{'entertainment': 77, 'gaming': 1}",42_bone temple_temple_later bone_bone
52,63,27562.0,0.034377510040160646,gaming,"{'gaming': 61, 'entertainment': 2}",52_twitch twitter_twitter twitch_twitch_twitch check
239,15,27316.0,0.015860524244809007,tech,"{'tech': 10, 'fitness': 3, 'entertainment': 1, 'research_science': 1}",239_black friday_friday deals_friday sale_amazon deals
215,18,26378.5,0.029029275866563658,tech,"{'tech': 12, 'entertainment': 5, 'fitness': 1}",215_las vegas_vegas_las_sphere
165,26,26126.5,0.026708280940033323,tech,{'tech': 26},165_ipad pro_ipad_10 ipad_laptop ipad
228,16,25453.5,0.034296489519481756,tech,{'tech': 16},228_p5 js_js p5_p5_js web
38,81,25360.0,0.014642700569925471,gaming,"{'gaming': 79, 'entertainment': 2}",38_pranks_wife_snl_prank
233,16,24985.0,0.05917936577640011,tech,"{'tech': 12, 'entertainment': 2, 'gaming': 1, 'research_science': 1}",233_latin america_latin_crash course_crash
63,56,24379.0,0.032044027788984866,tech,{'tech': 56},63_server_recommended services_setup_cloud
75,52,23334.0,0.011440741858866347,entertainment,"{'entertainment': 48, 'tech': 2, 'gaming': 1, 'research_science': 1}",75_arsenal_norwich_united_match
120,40,23241.5,0.017858212636692454,entertainment,"{'entertainment': 39, 'research_science': 1}",120_aliens_extraterrestrials_ufo_ancient
102,45,21978.0,0.025837792171219374,food,"{'food': 44, 'gaming': 1}",102_pasta_spaghetti_italian_cuisine
237,15,21756.0,0.022817025010969723,tech,{'tech': 15},237_gmail_emails_email_emailed inbox
263,12,21737.0,0.00443354257221276,fitness,{'fitness': 12},263_animated series_workouts_joe_fitness
61,57,20534.0,0.03644452858765619,tech,{'tech': 57},61_great linux_linux linux_learn linux_linux
167,26,20530.0,0.021081313440809598,tech,{'tech': 26},167_lg_smart tv_samsung_2026 samsung
221,17,19792.0,0.021213503649635035,fitness,"{'fitness': 14, 'entertainment': 1, 'gaming': 1, 'research_science': 1}",221_dance dance_dancer_dance_dancing
124,38,19362.5,0.059639268412286534,entertainment,{'entertainment': 38},124_movie review_review movie_review website_review
277,11,18822.0,0.013358551456875686,entertainment,{'entertainment': 11},277_revenge_theatres_road_theatre
49,66,18652.0,0.04717939631304592,entertainment,"{'entertainment': 52, 'gaming': 4, 'fitness': 4, 'food': 2, 'research_science': 2, 'tech': 2}",49_new merch_merch_songs_dj
108,43,18091.0,0.03500693831209789,tech,"{'tech': 42, 'research_science': 1}",108_developers_developer_software engineer_programming
